% ---------------------------------- FINITE-SOURCE RUPTURE MODEL --------------------------------
%
% Event : FLORES REGION, INDONESIA  1992/12/12 [Hayes (NEIC,2014)]
% EventTAG: p0005j5aHAYES
%
% Loc  : LAT = -8.5100  LON = 121.8900  DEP = 28.0
% Size : LEN = 240 km  WID = 90 km  Mw = 7.73  Mo = 5.1449486e+20 Nm
% Mech : STRK = 88  DIP = 34  RAKE = 95  Htop = 0.31 km
% Rupt : HypX = 125 km  Hypz = 49.5 km  avTr = 3.09 s  avVr = 2.39 km/s
%
% ---------------------------------- inversion-related parameters --------------------------------
%
% Invs : Nx = 24  Nz = 10  Fmin = 0.002 Hz  Fmax = 1 Hz
% Invs : Dx = 10 km  Dz = 9.0 km
% Invs : Ntw = 5  Nsg = 1    (# of time-windows,# of fault segments)
% Invs : LEN = 2.4 s  SHF = 1.2 s    (time-window length and time-shift)
% SVF  : Asymetriccosine    (type of slip-velocity function used)
%
% Data : SGM TELE TRIL LEVEL GPS INSAR SURF OTHER
% Data : 0 25 0 0 0 0 25 0
% Data : 0 140.33 0 0 0 0 140.33 0
% Data : 0 33.32 0 0 0 0 33.32 0
%
%--------------------------------------------------------------------------------------------------
%
% VELOCITY-DENSITY STRUCTURE
% No. of layers = 7
%
% DEPTH P-VEL S-VEL DENS QP QS
% [km] [km/s] [km/s] [g/cm^3]
%   0.00 2.50 1.20 2.10  1000   500
%   1.00 4.00 2.10 2.40  1000   500
%   2.50 6.00 3.40 2.70  1000   500
%  13.50 6.60 3.70 2.90  1000   500
%  23.50 7.20 4.00 3.10  1000   500
%  33.50 8.08 4.47 3.38  1200   500
% 229.50 8.59 4.66 3.45   360   140
%
%--------------------------------------------------------------------------------------------------
% 3-Feb-2017 created by GPH (ghayes@usgs.gov)
%--------------------------------------------------------------------------------------------------
%
% SOURCE MODEL PARAMETERS
% Nsbfs = 240 subfaults
% X,Y,Z coordinates in km; SLIP in m
% if applicable: RAKE in deg, RISE in s, TRUP in s, slip in each TW in m
%
% Coordinates are given for center of each subfault or segment: |'|
% Origin of local coordinate system at epicenter: X (EW) = 0, Y (NS) = 0
% LAT LON X==EW Y==NS Z SLIP RAKE TRUP RISE SF_MOMENT
%--------------------------------------------------------------------------------------------------
 -8.2122  120.7869 -121.5388   36.6770   2.8363  0.0154   68.8969  60.8000  2.4000  4.33e+16
 -8.2090  120.8778 -111.5353   37.0598   2.8363  0.0816   69.7744  54.8000  3.6000  2.29e+17
 -8.2059  120.9688 -101.5206   37.4292   2.8363  0.2404   81.3953  46.6000  1.2000  6.75e+17
 -8.2027  121.0597  -91.5168   37.8074   2.8363  0.1226  123.4483  42.2000  6.0000  3.45e+17
 -8.1996  121.1506  -81.5128   38.1722   2.8363  0.0837   91.2422  39.4000  3.6000  2.35e+17
 -8.1965  121.2416  -71.4976   38.5346   2.8363  0.0440  114.4376  34.0000  4.8000  1.24e+17
 -8.1933  121.3325  -61.4933   38.9058   2.8363  0.0977   66.0163  31.6000  6.0000  2.75e+17
 -8.1902  121.4235  -51.4778   39.2636   2.8363  0.7291   81.6332  25.4000  1.2000  2.05e+18
 -8.1870  121.5144  -41.4731   39.6302   2.8363  1.9579   95.9537  23.6000  1.2000  5.50e+18
 -8.1839  121.6053  -31.4683   39.9833   2.8363  2.1005   92.9232  22.4000  3.6000  5.90e+18
 -8.1808  121.6963  -21.4523   40.3341   2.8363  2.4245  101.7093  20.4000  6.0000  6.81e+18
 -8.1776  121.7872  -11.4472   40.6937   2.8363  2.5555   94.6608  17.8000  1.2000  7.18e+18
 -8.1745  121.8782   -1.4309   41.0399   2.8363  2.1496   91.2196  16.2000  1.2000  6.04e+18
 -8.1713  121.9691    8.5746   41.3949   2.8363  1.5557   95.0733  17.6000  3.6000  4.37e+18
 -8.1682  122.0600   18.5802   41.7364   2.8363  0.7405   87.6983  19.2000  2.4000  2.08e+18
 -8.1650  122.1510   28.5970   42.0868   2.8363  0.8871   83.4789  20.6000  1.2000  2.49e+18
 -8.1619  122.2419   38.6029   42.4237   2.8363  1.0674  103.6979  24.0000  3.6000  3.00e+18
 -8.1588  122.3328   48.6090   42.7583   2.8363  1.3334   85.6417  26.6000  1.2000  3.75e+18
 -8.1556  122.4238   58.6262   43.1017   2.8363  2.0793  104.0827  31.6000  6.0000  5.84e+18
 -8.1525  122.5147   68.6326   43.4317   2.8363  1.1472  122.1416  32.8000  6.0000  3.22e+18
 -8.1493  122.6057   78.6502   43.7705   2.8363  0.2677  123.8971  37.0000  1.2000  7.52e+17
 -8.1462  122.6966   88.6569   44.0958   2.8363  0.0355   66.8730  41.6000  4.8000  9.96e+16
